source_idx,target_idx,weight
58,1669,0.7068690657615662
59,1441,0.7881949543952942
59,1553,0.748745322227478
59,2250,0.748745322227478
59,3129,0.748745322227478
59,292,0.7482198476791382
59,3251,0.7460535764694214
59,186,0.7429385781288147
59,557,0.7312513589859009
60,570,0.7685312032699585
60,1644,0.7663439512252808
60,2056,0.7586718797683716
60,2346,0.7522158622741699
60,1302,0.7513107657432556
60,1108,0.7432682514190674
61,1142,0.7522535920143127
61,2119,0.7493329048156738
61,2593,0.7342301607131958
61,3157,0.709479570388794
61,534,0.7085703015327454
62,148,0.7393271923065186
62,217,0.7193165421485901
63,106,0.8036707639694214
63,2570,0.753476619720459
63,2071,0.7519562840461731
63,253,0.7329579591751099
63,2340,0.7321731448173523
63,2831,0.7293151617050171
63,2763,0.7286845445632935
64,1634,0.8544487953186035
64,579,0.8439460396766663
64,2535,0.841494619846344
64,465,0.8339247703552246
64,1980,0.8310731649398804
64,391,0.8305492401123047
64,592,0.8282411098480225
64,1817,0.8257617950439453
64,380,0.8255994915962219
64,2243,0.8249501585960388
64,2412,0.8238205909729004
64,2125,0.822232723236084
64,1560,0.819229781627655
64,494,0.8188363909721375
64,1495,0.8179956674575806
65,2445,0.803733229637146
65,106,0.7929662466049194
65,2434,0.7631992101669312
65,1069,0.7606964111328125
65,1631,0.7428370714187622
65,2771,0.7373570203781128
65,2704,0.7251602411270142
65,1066,0.7251023054122925
65,1329,0.7216033935546875
65,228,0.7198197841644287
65,70,0.7149139046669006
66,1648,0.7430449724197388
66,1643,0.7309497594833374
67,788,0.7717034816741943
67,645,0.7364798784255981
67,86,0.7002333998680115
68,455,0.921303927898407
68,1517,0.822523832321167
68,1266,0.8211381435394287
68,509,0.8050858974456787
68,1647,0.7978206872940063
68,164,0.7888760566711426
68,1829,0.7732545137405396
68,415,0.7512508630752563
68,1754,0.7502400279045105
68,977,0.7491031885147095
68,2531,0.7473106980323792
68,306,0.7464267015457153
69,1234,0.7080690860748291
69,831,0.6753550171852112
70,228,0.7717876434326172
70,2818,0.7333543300628662
70,2771,0.7214171290397644
71,1629,0.7357474565505981
71,1328,0.7088690996170044
72,1007,0.841377854347229
72,240,0.8369658589363098
72,1634,0.8249863386154175
72,1823,0.8181745409965515
72,1613,0.8063100576400757
72,393,0.8048638105392456
72,1127,0.80390465259552
72,581,0.8000651001930237
72,1167,0.7998238205909729
72,2303,0.7995579242706299
73,3269,0.6171708106994629
73,355,0.6158502101898193
73,1906,0.6099032163619995
74,970,0.7281165719032288
74,2269,0.7276954650878906
74,1484,0.7228305339813232
75,931,0.7404866814613342
76,1104,0.8510971069335938
76,764,0.8322901725769043
76,436,0.79692542552948
76,105,0.7935618162155151
76,898,0.7920699119567871
76,136,0.7891825437545776
76,2422,0.7876103520393372
76,1656,0.7762666940689087
76,2658,0.7682350873947144
76,196,0.7607814073562622
78,2161,0.6914256811141968
78,858,0.6531339883804321
78,83,0.6519173979759216
78,3167,0.6370363235473633
79,1334,0.7303832769393921
79,3044,0.7056002616882324
80,2666,0.6599260568618774
81,2817,0.787067174911499
81,3121,0.7860695123672485
81,1891,0.7848397493362427
81,1071,0.7831850647926331
81,857,0.7822105884552002
81,1290,0.7776848077774048
81,3214,0.776170015335083
81,1285,0.7743061184883118
81,2551,0.7699030041694641
81,1151,0.7671633362770081
82,1049,0.7346115112304688
83,127,0.6933659315109253
83,2849,0.6414644718170166
84,511,0.6926584243774414
84,921,0.6640863418579102
85,1706,0.7383445501327515
87,2434,0.7712428569793701
87,1770,0.7625299692153931
87,1113,0.7404444813728333
87,618,0.7358497381210327
87,2341,0.7274601459503174
87,1774,0.7256168127059937
87,1987,0.7240180969238281
88,3327,0.6710145473480225
90,2537,0.6799149513244629
90,1957,0.6619330644607544
90,1939,0.6576679944992065
90,3124,0.6414724588394165
92,2145,0.7188010215759277
92,255,0.6852258443832397
92,102,0.6784300208091736
92,1534,0.6728136539459229
94,1589,0.7368463277816772
94,525,0.6933724880218506
94,1224,0.6667728424072266
94,728,0.6526556611061096
94,1620,0.6476007103919983
96,1573,0.7655580043792725
96,2739,0.7542506456375122
96,671,0.746776282787323
96,3275,0.737786054611206
96,1721,0.7348788976669312
97,2589,0.8061541318893433
98,1508,0.684441328048706
99,2264,0.6500420570373535
99,880,0.6354967355728149
101,469,0.7996031045913696
101,1512,0.7808754444122314
101,384,0.7334951162338257
102,2885,0.7005608081817627
102,246,0.6948037147521973
102,1342,0.6742327213287354
102,2910,0.6630157232284546
102,1534,0.6524711847305298
102,427,0.647564709186554
103,2076,0.7950659394264221
103,1877,0.7784865498542786
103,3337,0.7732293605804443
103,3228,0.772308349609375
103,1948,0.7638064622879028
103,3181,0.7607192397117615
103,1926,0.7607192397117615
103,2840,0.7605886459350586
103,1623,0.7571803331375122
103,1675,0.7569295763969421
103,2509,0.7515497207641602
103,2019,0.7493462562561035
103,1720,0.7493462562561035
104,2468,0.7212719917297363
104,1866,0.6519260406494141
105,765,0.7870018482208252
105,1779,0.7733227014541626
105,185,0.7670340538024902
105,2233,0.7616515755653381
106,2071,0.8270745277404785
106,2434,0.7785311937332153
106,983,0.7773358225822449
106,1329,0.7746504545211792
106,2949,0.7661386728286743
106,253,0.7608083486557007
106,846,0.7519069910049438
106,3177,0.743679404258728
106,1099,0.7434087991714478
107,2535,0.8499345183372498
107,582,0.8238586187362671
107,418,0.8024869561195374
107,1902,0.7990830540657043
107,122,0.7974065542221069
107,1964,0.796806812286377
107,2551,0.7858076095581055
107,1712,0.7857120037078857
107,2153,0.7845022678375244
107,1073,0.7806940078735352
107,968,0.7799850702285767
107,3037,0.7799850702285767
108,1516,0.769442081451416
108,953,0.7512272596359253
108,2686,0.7490910291671753
108,382,0.7445975542068481
110,439,0.7094879150390625
111,391,0.8354623317718506
111,1709,0.8061384558677673
111,1671,0.7972429394721985
111,3106,0.7962801456451416
111,2511,0.7951914072036743
111,1817,0.7935972213745117
111,1559,0.7925306558609009
111,2575,0.7921127080917358
111,582,0.7917961478233337
111,273,0.7901654839515686
111,2535,0.7873304486274719
